Date,Districts
25-11-2020,"['Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Puducherry-Mahe.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
26-11-2020,"['Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Chhattisgarh-Narayanpur.csv', 'Chhattisgarh-Korba.csv', 'Chhattisgarh-Uttar Bastar Kanker.csv', 'Mizoram-Saiha.csv']"
27-11-2020,"['Mizoram-Serchhip.csv', 'Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Chhattisgarh-Narayanpur.csv', 'Chhattisgarh-Dhamtari.csv']"
28-11-2020,"['Mizoram-Kolasib.csv', 'Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Mizoram-Serchhip.csv', 'Mizoram-Mamit.csv']"
29-11-2020,"['Chhattisgarh-Bastar.csv', 'Chhattisgarh-Narayanpur.csv', 'Mizoram-Kolasib.csv', 'Puducherry-Mahe.csv', 'Mizoram-Mamit.csv']"
30-11-2020,"['Chhattisgarh-Bastar.csv', 'Chhattisgarh-Korba.csv', 'Mizoram-Kolasib.csv', 'Mizoram-Mamit.csv']"
1-12-2020,"['Mizoram-Serchhip.csv', 'Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Mizoram-Kolasib.csv', 'Mizoram-Mamit.csv']"
2-12-2020,"['Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Chhattisgarh-Korba.csv', 'Mizoram-Saiha.csv', 'Mizoram-Kolasib.csv', 'Mizoram-Mamit.csv']"
3-12-2020,"['Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Mizoram-Kolasib.csv', 'Mizoram-Mamit.csv']"
4-12-2020,"['Mizoram-Serchhip.csv', 'Himachal Pradesh-Kinnaur.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
5-12-2020,"['Chhattisgarh-Bastar.csv', 'Chhattisgarh-Dhamtari.csv', 'Arunachal Pradesh-Anjaw.csv', 'Mizoram-Mamit.csv']"
6-12-2020,"['Mizoram-Kolasib.csv', 'Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Mizoram-Serchhip.csv', 'Mizoram-Mamit.csv']"
7-12-2020,"['Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Mizoram-Lawngtlai.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
8-12-2020,"['Mizoram-Saiha.csv', 'Chhattisgarh-Bastar.csv', 'Chhattisgarh-Narayanpur.csv', 'Mizoram-Lawngtlai.csv']"
9-12-2020,"['Chhattisgarh-Narayanpur.csv', 'Mizoram-Serchhip.csv', 'Chhattisgarh-Dhamtari.csv']"
10-12-2020,"['Chhattisgarh-Narayanpur.csv', 'Mizoram-Saiha.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
11-12-2020,"['Chhattisgarh-Bastar.csv', 'Chhattisgarh-Narayanpur.csv', 'Mizoram-Kolasib.csv', 'Puducherry-Mahe.csv', 'Mizoram-Mamit.csv']"
12-12-2020,"['Arunachal Pradesh-Upper Siang.csv', 'Chhattisgarh-Bastar.csv', 'Mizoram-Kolasib.csv', 'Mizoram-Mamit.csv']"
13-12-2020,"['Mizoram-Kolasib.csv', 'Mizoram-Serchhip.csv', 'Chhattisgarh-Dakshin Bastar Dantewada.csv']"
14-12-2020,"['Mizoram-Saiha.csv', 'Mizoram-Mamit.csv', 'Chhattisgarh-Dakshin Bastar Dantewada.csv']"
15-12-2020,"['Mizoram-Kolasib.csv', 'Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Mizoram-Mamit.csv']"
