District code,State name,District name,Population,Male,Female
584,KARNATAKA,Ramanagara,1082636,548008,534628
585,GOA,North Goa,818008,416677,401331
586,GOA,South Goa,640537,322463,318074
587,LAKSHADWEEP,Lakshadweep,64473,33123,31350
588,KERALA,Kasaragod,1307375,628613,678762
589,KERALA,Kannur,2523003,1181446,1341557
590,KERALA,Wayanad,817420,401684,415736
591,KERALA,Kozhikode,3086293,1470942,1615351
592,KERALA,Malappuram,4112920,1960328,2152592
593,KERALA,Palakkad,2809934,1359478,1450456
594,KERALA,Thrissur,3121200,1480763,1640437
595,KERALA,Ernakulam,3282388,1619557,1662831
596,KERALA,Idukki,1108974,552808,556166
597,KERALA,Kottayam,1974551,968289,1006262
598,KERALA,Alappuzha,2127789,1013142,1114647
599,KERALA,Pathanamthitta,1197412,561716,635696
600,KERALA,Kollam,2635375,1246968,1388407
601,KERALA,Thiruvananthapuram,3301427,1581678,1719749
602,TAMIL NADU,Thiruvallur,3728104,1876062,1852042
603,TAMIL NADU,Chennai,4646732,2335844,2310888
604,TAMIL NADU,Kancheepuram,3998252,2012958,1985294
605,TAMIL NADU,Vellore,3936331,1961688,1974643
606,TAMIL NADU,Tiruvannamalai,2464875,1235889,1228986
607,TAMIL NADU,Viluppuram,3458873,1740819,1718054
608,TAMIL NADU,Salem,3482056,1781571,1700485
609,TAMIL NADU,Namakkal,1726601,869280,857321
610,TAMIL NADU,Erode,2251744,1129868,1121876
611,TAMIL NADU,The Nilgiris,735394,360143,375251
612,TAMIL NADU,Dindigul,2159775,1080938,1078837
613,TAMIL NADU,Karur,1064493,528184,536309
614,TAMIL NADU,Tiruchirappalli,2722290,1352284,1370006
615,TAMIL NADU,Perambalur,565223,282157,283066
616,TAMIL NADU,Ariyalur,754894,374703,380191
617,TAMIL NADU,Cuddalore,2605914,1311697,1294217
618,TAMIL NADU,Nagapattinam,1616450,798127,818323
619,TAMIL NADU,Thiruvarur,1264277,626693,637584
620,TAMIL NADU,Thanjavur,2405890,1182416,1223474
621,TAMIL NADU,Pudukkottai,1618345,803188,815157
622,TAMIL NADU,Sivaganga,1339101,668672,670429
623,TAMIL NADU,Madurai,3038252,1526475,1511777
624,TAMIL NADU,Theni,1245899,625683,620216
625,TAMIL NADU,Virudhunagar,1942288,967709,974579
626,TAMIL NADU,Ramanathapuram,1353445,682658,670787
627,TAMIL NADU,Thoothukkudi,1750176,865021,885155
628,TAMIL NADU,Tirunelveli,3077233,1520912,1556321
629,TAMIL NADU,Kanniyakumari,1870374,926345,944029
630,TAMIL NADU,Dharmapuri,1506843,774303,732540
631,TAMIL NADU,Krishnagiri,1879809,960232,919577
632,TAMIL NADU,Coimbatore,3458045,1729297,1728748
633,TAMIL NADU,Tiruppur,2479052,1246159,1232893
634,PONDICHERRY,Yanam,55626,27301,28325
635,PONDICHERRY,PONDICHERRY,950289,468258,482031
636,PONDICHERRY,Mahe,41816,19143,22673
637,PONDICHERRY,Karaikal,200222,97809,102413
638,ANDAMAN AND NICOBAR ISLANDS,Nicobars,36842,20727,16115
639,ANDAMAN AND NICOBAR ISLANDS,North  AND Middle Andaman,105597,54861,50736
640,ANDAMAN AND NICOBAR ISLANDS,South Andaman,238142,127283,110859
