District name,Population
Madhya Pradesh-Damoh.csv,1264219
Madhya Pradesh-Datia.csv,786754
Madhya Pradesh-Dewas.csv,1563715
Madhya Pradesh-Dhar.csv,2185793
Madhya Pradesh-Dindori.csv,704524
Madhya Pradesh-Guna.csv,1241519
Madhya Pradesh-Gwalior.csv,2032036
Madhya Pradesh-Harda.csv,570465
Madhya Pradesh-Hoshangabad.csv,1241350
Madhya Pradesh-Indore.csv,3276697
Madhya Pradesh-Jabalpur.csv,2463289
Madhya Pradesh-Jhabua.csv,1025048
Madhya Pradesh-Katni.csv,1292042
Madhya Pradesh-Mandla.csv,1054905
Madhya Pradesh-Mandsaur.csv,1340411
Madhya Pradesh-Morena.csv,1965970
Madhya Pradesh-Neemuch.csv,826067
Madhya Pradesh-Panna.csv,1016520
Madhya Pradesh-Raisen.csv,1331597
Madhya Pradesh-Rajgarh.csv,1545814
Madhya Pradesh-Ratlam.csv,1455069
Madhya Pradesh-Rewa.csv,2365106
Madhya Pradesh-Sagar.csv,2378458
Madhya Pradesh-Satna.csv,2228935
Madhya Pradesh-Sehore.csv,1311332
Madhya Pradesh-Seoni.csv,1379131
Madhya Pradesh-Shahdol.csv,1066063
Madhya Pradesh-Shajapur.csv,1512681
Madhya Pradesh-Sheopur.csv,687861
Madhya Pradesh-Shivpuri.csv,1726050
Madhya Pradesh-Sidhi.csv,1127033
Madhya Pradesh-Singrauli.csv,1178273
Madhya Pradesh-Tikamgarh.csv,1445166
Madhya Pradesh-Ujjain.csv,1986864
Madhya Pradesh-Umaria.csv,644758
Madhya Pradesh-Vidisha.csv,1458875
Maharashtra-Akola.csv,1813906
Maharashtra-Amravati.csv,2888445
Maharashtra-Aurangabad.csv,3701282
Maharashtra-Bhandara.csv,1200334
Maharashtra-Chandrapur.csv,2204307
Maharashtra-Dhule.csv,2050862
Maharashtra-Gadchiroli.csv,1072942
Maharashtra-Hingoli.csv,1177345
Maharashtra-Jalgaon.csv,4229917
Maharashtra-Jalna.csv,1959046
Maharashtra-Kolhapur.csv,3876001
Maharashtra-Latur.csv,2454196
Maharashtra-Mumbai.csv,3085411
Maharashtra-Nagpur.csv,4653570
Maharashtra-Nanded.csv,3361292
Maharashtra-Nandurbar.csv,1648295
Maharashtra-Nashik.csv,6107187
Maharashtra-Osmanabad.csv,1657576
Maharashtra-Parbhani.csv,1836086
Maharashtra-Pune.csv,9429408
